PTB-INFO: Using modified PortAudio V19.7.0-devel, revision unknown
0.6329 	DEBUG 	Opening message catalog /Applications/PsychoPy.app/Contents/Resources/lib/python3.8/psychopy/localization/../app/locale/en_US/LC_MESSAGE/messages.mo for locale en_US
13.3020 	INFO 	Loaded SoundDevice with PortAudio V19.7.0-devel, revision 147dd722548358763a8b649b3e4b41dfffbcfbb6
13.3022 	INFO 	sound is using audioLib: sounddevice
13.3023 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.8646 	WARNING 	image was set to update during ISI_load_images Static Component, but that component no longer exists
14.8646 	WARNING 	image was set to update during ISI_load_images Static Component, but that component no longer exists
14.8646 	WARNING 	image was set to update during ISI_load_images Static Component, but that component no longer exists
14.8647 	WARNING 	image was set to update during ISI_load_images Static Component, but that component no longer exists
14.8647 	WARNING 	image was set to update during ISI_load_images Static Component, but that component no longer exists
15.0206 	DEBUG 	PavloviaLoggedIn
16.3189 	WARNING 	Couldn't connect to psychopy.org
Check internet settings (and proxy setting in PsychoPy Preferences.
